Distribution Center,Product Offering,Generation,SKU,ASP Group,Week,Forecasted Demand,Customer Orders
EPSILON,C,2,SKU-C-2,4,2,516401,58599
EPSILON,E,2,SKU-E-2,7,2,52548,20541
EPSILON,F,1,SKU-F-1,6,2,21736,4777
EPSILON,F,2,SKU-F-2,7,2,339363,17357
EPSILON,G,2,SKU-G-2,10,2,9697,1911
EPSILON,H,1,SKU-H-1,9,2,15382,3981
EPSILON,H,2,SKU-H-2,9,2,675924,85828
EPSILON,I,2,SKU-I-2,10,2,122739,13057
EPSILON,J,2,SKU-J-2,11,2,11990,3344
EPSILON,K,1,SKU-K-1,10,2,39459,8280
EPSILON,K,2,SKU-K-2,11,2,377006,32803
EPSILON,L,2,SKU-L-2,12,2,295127,36146
EPSILON,M,1,SKU-M-1,13,2,7675,2548
EPSILON,M,2,SKU-M-2,13,2,181338,27707
EPSILON,N,2,SKU-N-2,14,2,52739,10191
EPSILON,O,1,SKU-O-1,14,2,17580,637
EPSILON,O,2,SKU-O-2,14,2,410159,73726
EPSILON,Q,1,SKU-Q-1,14,2,12102,955
EPSILON,Q,2,SKU-Q-2,14,2,263774,30732
EPSILON,S,2,SKU-S-2,15,2,287659,27389
ALPHA,A,2,SKU-A-2,1,3,14538,13854
ALPHA,B,2,SKU-B-2,1,3,67261,113854
ALPHA,C,1,SKU-C-1,3,3,6083,5096
ALPHA,C,2,SKU-C-2,4,3,59904,54299
ALPHA,E,2,SKU-E-2,7,3,318,318
ALPHA,F,1,SKU-F-1,6,3,68153,13057
ALPHA,F,2,SKU-F-2,7,3,12978,14650
ALPHA,G,2,SKU-G-2,10,3,96,159
ALPHA,H,1,SKU-H-1,9,3,478,1752
ALPHA,H,2,SKU-H-2,9,3,24682,20223
ALPHA,I,2,SKU-I-2,10,3,1911,796
ALPHA,J,2,SKU-J-2,11,3,589,1274
ALPHA,K,1,SKU-K-1,10,3,6688,3185
ALPHA,K,2,SKU-K-2,11,3,21497,10032
ALPHA,L,2,SKU-L-2,12,3,5748,3344
ALPHA,M,2,SKU-M-2,13,3,3344,7325
ALPHA,N,2,SKU-N-2,14,3,318,1115
ALPHA,O,1,SKU-O-1,14,3,5414,1592
ALPHA,O,2,SKU-O-2,14,3,24076,15287
ALPHA,Q,2,SKU-Q-2,14,3,13678,13217
ALPHA,S,2,SKU-S-2,15,3,5860,9873
BETA,C,2,SKU-C-2,4,3,796,478
GAMMA,A,2,SKU-A-2,1,3,26242,10191
GAMMA,B,2,SKU-B-2,1,3,66210,31369
GAMMA,C,1,SKU-C-1,3,3,16624,1115
GAMMA,C,2,SKU-C-2,4,3,119395,20064
GAMMA,E,2,SKU-E-2,7,3,81592,31210
GAMMA,F,2,SKU-F-2,7,3,33535,60669
GAMMA,G,2,SKU-G-2,10,3,1624,637
