,fine_tune_train_cost,fine_tune_val_cost
338,1455996.0,13330048.0
339,1446925.0,13330048.0
340,1439275.375,13330048.0
341,1432675.125,13330048.0
342,1427180.5,13330048.0
343,1421948.625,13330048.0
344,1417799.125,13330048.0
345,1413066.375,13330048.0
346,1408966.625,13330048.0
347,1404950.375,13330048.0
348,1400867.875,13330048.0
349,1397052.375,13330048.0
350,1393803.875,1416106.5
351,1390295.5,4859195.5
352,4911709.5,4859195.5
353,365160416.0,4859195.5
354,7634086.5,4859195.5
355,7129310.5,4859195.5
356,6418743.5,4859195.5
357,5807564.0,4859195.5
358,5290196.5,4859195.5
359,4837626.0,4859195.5
360,4448247.0,4859195.5
361,4096719.75,4859195.5
362,3780118.75,4859195.5
363,3488542.0,4859195.5
364,3223554.75,4859195.5
365,2976482.25,4859195.5
366,2746511.5,4859195.5
367,2528803.25,4859195.5
368,2324333.5,4859195.5
369,2130851.25,4859195.5
370,1946106.875,4859195.5
371,1774199.875,4859195.5
372,1630489.25,4859195.5
373,1517256.0,4859195.5
374,1494404.375,4859195.5
375,1490306.375,4859195.5
376,1485474.375,4859195.5
377,1481514.0,4859195.5
378,1477653.5,4859195.5
379,1474092.125,4859195.5
380,1469847.125,4859195.5
381,1466261.5,4859195.5
382,1462626.0,4859195.5
383,1459139.75,4859195.5
384,1455722.5,4859195.5
385,1451886.625,4859195.5
386,1448235.25,4859195.5
387,1444507.375,4859195.5
388,1441031.5,4859195.5
389,1437702.25,4859195.5
390,1434169.0,4859195.5
391,1430627.0,4859195.5
392,1427257.875,4859195.5
393,1424054.75,4859195.5
394,1420725.5,4859195.5
395,1417526.5,4859195.5
396,1414163.0,4859195.5
397,1410887.125,4859195.5
398,1407636.0,4859195.5
399,1404256.75,4859195.5
400,1401251.25,1434121.5
401,1397801.625,4009469.25
402,3978708.5,4009469.25
403,86662632.0,4009469.25
404,4455088.5,4009469.25
405,4140099.5,4009469.25
406,3901625.25,4009469.25
407,3697656.5,4009469.25
408,3526304.5,4009469.25
409,3380555.5,4009469.25
410,3256973.75,4009469.25
411,3148591.5,4009469.25
412,3066002.5,4009469.25
413,2963593.25,4009469.25
414,2927359.25,4009469.25
415,2879914.25,4009469.25
416,2856041.0,4009469.25
417,2773711.25,4009469.25
418,2716379.75,4009469.25
419,2658489.25,4009469.25
420,2599961.5,4009469.25
421,2540231.0,4009469.25
422,2482819.75,4009469.25
423,2422411.0,4009469.25
424,2364466.5,4009469.25
425,2306004.25,4009469.25
426,2248921.25,4009469.25
427,2194391.5,4009469.25
428,2140247.25,4009469.25
429,2083383.5,4009469.25
430,2032379.125,4009469.25
431,1987332.875,4009469.25
432,1944156.375,4009469.25
433,1935225.875,4009469.25
434,1899254.125,4009469.25
435,1851038.0,4009469.25
436,1808771.5,4009469.25
437,1765962.375,4009469.25
438,1727974.625,4009469.25
439,1692940.125,4009469.25
440,1662478.75,4009469.25
441,1632543.5,4009469.25
442,1608453.25,4009469.25
443,1582458.375,4009469.25
444,1558567.625,4009469.25
445,1537456.625,4009469.25
446,1516131.25,4009469.25
447,1497195.25,4009469.25
448,1800036.125,4009469.25
449,1513960.5,4009469.25
450,1449123.0,1467179.5
451,1438388.125,240630464.0
452,243038960.0,240630464.0
453,3062109.25,240630464.0
454,2687350.5,240630464.0
455,2369719.0,240630464.0
456,2121615.75,240630464.0
457,1908161.625,240630464.0
458,1719470.625,240630464.0
459,1556228.25,240630464.0
460,1453284.625,240630464.0
461,1413260.5,1437624.0
462,1410989.0,1429440.625
463,1401696.25,1430158.25
464,1398905.875,1412848.375
465,1395886.375,1403319.875
466,1393080.375,1431094.0
467,1390538.875,1419770.125
468,1387924.75,1400105.875
469,1385789.75,1407876.875
470,1383085.25,1423326.875
471,1382284.5,1391536.5
472,1378263.75,1409403.25
473,1376232.875,1393909.5
474,1374395.875,1374007.875
475,1372432.875,1396916.5
476,1370556.375,1389751.625
477,1368768.125,1394909.25
478,1366987.875,1395615.0
479,1365212.0,1395666.375
480,1363514.625,1400086.125
481,1361758.5,1368653.75
482,1360127.125,1372089.375
483,1358744.0,1365852.875
484,1357393.25,1354561.375
485,1355693.625,1362197.375
486,1354184.375,1496347.125
487,1434848.125,1496347.125
488,1417726.25,1496347.125
489,1372082.0,1496347.125
490,1350352.375,1366501.75
491,1344493.625,1356261.0
492,1343007.375,1357620.125
493,1341718.625,1360984.75
494,1340645.75,1364448.125
495,1339828.375,1349824.0
496,1338552.75,1378205.875
497,1337781.375,1371698.25
498,1336137.375,1376643.875
499,1335151.375,1360406.875
500,1334171.5,1357196.125
501,1333290.5,159815808.0
502,161238880.0,159815808.0
503,4189171.0,159815808.0
504,3593112.0,159815808.0
505,3349532.75,159815808.0
506,3140045.25,159815808.0
507,2948119.25,159815808.0
508,2772290.0,159815808.0
